id,sector,transaction_type,avg_pct_change_2d,avg_pct_change_30d,total_trades,total_trade_value,period_month,created_at
90,AGX,BUY,5.5093,18.9588,2,,2026-04-01,2026-05-22 21:55:00.239602
91,CAKE,BUY,4.9476,10.7228,1,,2026-04-01,2026-05-22 21:55:00.239602
92,ALXO,BUY,8.3591,23.8390,1,,2026-04-01,2026-05-22 21:55:00.239602
93,WTW,BUY,2.0775,-12.4832,4,,2026-04-01,2026-05-22 21:55:00.239602
94,ZVIA,BUY,-8.8710,4.0323,1,,2026-03-01,2026-05-22 21:55:00.239602
95,VALE,BUY,6.8874,7.1523,2,,2026-04-01,2026-05-22 21:55:00.239602
96,KRC,BUY,0.0000,23.6712,3,,2026-04-01,2026-05-22 21:55:00.239602
97,VLGEA,BUY,0.4181,1.3937,1,,2026-04-01,2026-05-22 21:55:00.239602
98,CNA,BUY,-2.7581,1.9457,1,,2026-03-01,2026-05-22 21:55:00.239602
99,YPF,BUY,8.8718,5.8644,2,,2026-03-01,2026-05-22 21:55:00.239602
100,AIR,BUY,-4.3131,2.2169,1,,2026-03-01,2026-05-22 21:55:00.239602
101,EQPT,BUY,1.5536,4.2465,1,,2026-04-01,2026-05-22 21:55:00.239602
102,OFG,BUY,-0.1004,15.8795,1,,2026-03-01,2026-05-22 21:55:00.239602
103,WSM,BUY,-4.5885,4.1309,1,,2026-03-01,2026-05-22 21:55:00.239602
104,PPTA,BUY,5.5445,16.2345,1,,2026-03-01,2026-05-22 21:55:00.239602
105,FLEX,BUY,4.4950,76.0439,1,,2026-04-01,2026-05-22 21:55:00.239602
106,BANF,BUY,0.7691,2.0509,1,,2026-04-01,2026-05-22 21:55:00.239602
107,BLW,BUY,3.2072,6.6981,1,,2026-04-01,2026-05-22 21:55:00.239602
108,SNDA,BUY,1.7904,-9.8470,1,,2026-02-01,2026-05-22 21:55:00.239602
109,RMR,BUY,-0.3870,14.9684,1,,2026-03-01,2026-05-22 21:55:00.239602
110,AEO,BUY,8.6387,5.9976,1,,2026-04-01,2026-05-22 21:55:00.239602
111,DLTH,BUY,2.8125,1.8750,1,,2026-04-01,2026-05-22 21:55:00.239602
112,BL,BUY,-0.9318,-7.0704,1,,2026-04-01,2026-05-22 21:55:00.239602
113,CPIX,BUY,-7.5163,5.5556,1,,2026-03-01,2026-05-22 21:55:00.239602
114,BDX,BUY,-0.7889,-3.6557,1,,2026-03-01,2026-05-22 21:55:00.239602
115,MCHP,BUY,11.9214,56.4269,1,,2026-04-01,2026-05-22 21:55:00.239602
116,HRL,BUY,-2.4236,-5.2808,1,,2026-03-01,2026-05-22 21:55:00.239602
117,PFIS,BUY,-1.2930,-3.2740,1,,2026-02-01,2026-05-22 21:55:00.239602
118,PTON,BUY,7.8224,11.8393,1,,2026-04-01,2026-05-22 21:55:00.239602
119,ADM,BUY,-6.4735,-5.2438,1,,2026-03-01,2026-05-22 21:55:00.239602
120,PLUG,BUY,25.7009,45.3271,1,,2026-04-01,2026-05-22 21:55:00.239602
121,DBX,BUY,6.8692,18.0978,1,,2026-04-01,2026-05-22 21:55:00.239602
122,FIX,BUY,12.6384,46.6423,3,,2026-04-01,2026-05-22 21:55:00.239602
123,MET,BUY,4.0575,17.5188,1,,2026-04-01,2026-05-22 21:55:00.239602
124,CFBK,BUY,-1.3736,-10.1075,2,,2026-04-01,2026-05-22 21:55:00.239602
125,INSM,BUY,0.0347,-0.7712,1,,2026-03-01,2026-05-22 21:55:00.239602
126,GAIA,BUY,-5.9937,-7.8864,1,,2026-03-01,2026-05-22 21:55:00.239602
